filename,company
AVG_logo.png,Avg
Adani_Group_logo.png,Adani Group
Airtable_logo.png,Airtable
Akamai_logo.png,Akamai
Alibaba_Cloud_logo.png,Alibaba Cloud
Arista_Networks_logo.png,Arista Networks
Atari_logo.png,Atari
Atlassian_logo.png,Atlassian
Avast_logo.png,Avast
Baidu_Cloud_logo.png,Baidu Cloud
Bandai_Namco_logo.png,Bandai Namco
Bharti_Airtel_logo.png,Bharti Airtel
BigCommerce_logo.png,Bigcommerce
Bitdefender_logo.png,Bitdefender
Byjus_logo.png,Byjus
Canva_logo.png,Canva
Capcom_logo.png,Capcom
Cloudflare_logo.png,Cloudflare
Coursera_logo.png,Coursera
Cred_logo.png,Cred
CrowdStrike_logo.png,Crowdstrike
Darktrace_logo.png,Darktrace
Databricks_logo.png,Databricks
Datadog_logo.png,Datadog
DigitalOcean_logo.png,Digitalocean
Elastic_logo.png,Elastic
Fastly_logo.png,Fastly
Figma_logo.png,Figma
Fortinet_logo.png,Fortinet
Freshworks_logo.png,Freshworks
Gazprom_logo.png,Gazprom
Grafana_Labs_logo.png,Grafana Labs
HCL_Technologies_logo.png,Hcl Technologies
Heroku_logo.png,Heroku
Indian_Oil_logo.png,Indian Oil
InfluxData_logo.png,Influxdata
Jio_logo.png,Jio
Juniper_Networks_logo.png,Juniper Networks
Khan_Academy_logo.png,Khan Academy
King_logo.png,King
Konami_logo.png,Konami
Larsen_and_Toubro_logo.png,Larsen And Toubro
Linode_logo.png,Linode
Mail.ru_logo.png,Mail.ru
Mailchimp_logo.png,Mailchimp
Malwarebytes_logo.png,Malwarebytes
Monday.com_logo.png,Monday.com
MongoDB_logo.png,Mongodb
Neo4j_logo.png,Neo4j
Netgear_logo.png,Netgear
Netlify_logo.png,Netlify
Notion_logo.png,Notion
ONGC_logo.png,Ongc
OVHcloud_logo.png,Ovhcloud
Okta_logo.png,Okta
Palo_Alto_Networks_logo.png,Palo Alto Networks
Paytm_logo.png,Paytm
Pertamina_logo.png,Pertamina
Petronas_logo.png,Petronas
PhonePe_logo.png,Phonepe
Pluralsight_logo.png,Pluralsight
Proofpoint_logo.png,Proofpoint
Rackspace_logo.png,Rackspace
Razorpay_logo.png,Razorpay
Redis_logo.png,Redis
Riot_Games_logo.png,Riot Games
Rosatom_logo.png,Rosatom
Sberbank_logo.png,Sberbank
Sega_logo.png,Sega
SentinelOne_logo.png,Sentinelone
ServiceNow_logo.png,Servicenow
Shopify_Plus_logo.png,Shopify Plus
Skillshare_logo.png,Skillshare
Snowflake_logo.png,Snowflake
Splunk_logo.png,Splunk
Square_logo.png,Square
Squarespace_logo.png,Squarespace
Stripe_logo.png,Stripe
Supercell_logo.png,Supercell
TP-Link_logo.png,Tp Link
Tata_Group_logo.png,Tata Group
Tech_Mahindra_logo.png,Tech Mahindra
Tencent_Cloud_logo.png,Tencent Cloud
Tinkoff_logo.png,Tinkoff
Trend_Micro_logo.png,Trend Micro
Twilio_logo.png,Twilio
Ubiquiti_logo.png,Ubiquiti
Udemy_logo.png,Udemy
Unacademy_logo.png,Unacademy
Unity_logo.png,Unity
VK_logo.png,Vk
Valve_logo.png,Valve
Vercel_logo.png,Vercel
Vodafone_Idea_logo.png,Vodafone Idea
Vultr_logo.png,Vultr
Weebly_logo.png,Weebly
Workday_logo.png,Workday
Yandex_logo.png,Yandex
Zendesk_logo.png,Zendesk
Zoho_logo.png,Zoho
Zoom_logo.png,Zoom
abarth_logo.png,Abarth
acer_logo.png,Acer
acura_logo.png,Acura
adidas_logo.png,Adidas
adobe_logo.png,Adobe
aecom_logo.png,Aecom
aerosmith_logo.png,Aerosmith
aig_logo.png,Aig
air-france_logo.png,Air France
air-jordan_logo.png,Air Jordan
air-new-zealand_logo.png,Air New Zealand
airbnb_logo.png,Airbnb
alaska-airlines_logo.png,Alaska Airlines
aldi_logo.png,Aldi
alibaba_logo.png,Alibaba
aliexpress_logo.png,Aliexpress
alipay_logo.png,Alipay
allergan_logo.png,Allergan
amazon_logo.png,Amazon
amd_logo.png,Amd
american-airlines_logo.png,American Airlines
american-express_logo.png,American Express
android_logo.png,Android
aol_logo.png,Aol
app-store_logo.png,App Store
apple_logo.png,Apple
babies-r-us_logo.png,Babies R Us
baidu_logo.png,Baidu
balenciaga_logo.png,Balenciaga
bally_logo.png,Bally
balmain_logo.png,Balmain
banfield-pet-hospital_logo.png,Banfield Pet Hospital
bank-of-america_logo.png,Bank Of America
barnes-and-noble_logo.png,Barnes And Noble
baskin-robbins_logo.png,Baskin Robbins
bathing-ape_logo.png,Bathing Ape
batman_logo.png,Batman
baxter_logo.png,Baxter
bayer_logo.png,Bayer
bbb_logo.png,Bbb
bbc_logo.png,Bbc
beats_logo.png,Beats
benq_logo.png,Benq
bentley_logo.png,Bentley
best-buy_logo.png,Best Buy
bing_logo.png,Bing
bitcoin_logo.png,Bitcoin
bitmoji_logo.png,Bitmoji
blizzard_logo.png,Blizzard
blockbuster_logo.png,Blockbuster
blogger_logo.png,Blogger
bmw-m_logo.png,Bmw M
bmw_logo.png,Bmw
boeing_logo.png,Boeing
bosch_logo.png,Bosch
bose_logo.png,Bose
boston-celtics_logo.png,Boston Celtics
boston-red-sox_logo.png,Boston Red Sox
bp_logo.png,Bp
british-airways_logo.png,British Airways
bts_logo.png,Bts
cadillac_logo.png,Cadillac
caesars_logo.png,Caesars
calvin-klein_logo.png,Calvin Klein
camaro_logo.png,Camaro
canon_logo.png,Canon
capital-one_logo.png,Capital One
cardinal-health_logo.png,Cardinal Health
